,Month,Rainfall,forecast
1970-01-01 00:00:00.000000109,1910-02-01,25.7,
1970-01-01 00:00:00.000000110,1910-03-01,23.3,
1970-01-01 00:00:00.000000111,1910-04-01,124.5,
1970-01-01 00:00:00.000000112,1910-05-01,148.8,
1970-01-01 00:00:00.000000113,1910-06-01,680.0,
1970-01-01 00:00:00.000000114,1910-07-01,484.1,
1970-01-01 00:00:00.000000115,1910-08-01,473.8,
1970-01-01 00:00:00.000000116,1910-09-01,248.6,
1970-01-01 00:00:00.000000117,1910-10-01,356.6,
1970-01-01 00:00:00.000000118,1910-11-01,280.4,
1970-01-01 00:00:00.000000119,1910-12-01,0.1,
1970-01-01 00:00:00.000000120,1911-01-01,3.0,
1970-01-01 00:00:00.000000121,1911-02-01,4.3,
1970-01-01 00:00:00.000000122,1911-03-01,18.2,
1970-01-01 00:00:00.000000123,1911-04-01,51.0,
1970-01-01 00:00:00.000000124,1911-05-01,180.6,
1970-01-01 00:00:00.000000125,1911-06-01,990.0,
1970-01-01 00:00:00.000000126,1911-07-01,705.3,
1970-01-01 00:00:00.000000127,1911-08-01,178.6,
1970-01-01 00:00:00.000000128,1911-09-01,60.2,
1970-01-01 00:00:00.000000129,1911-10-01,302.3,
1970-01-01 00:00:00.000000130,1911-11-01,145.7,
1970-01-01 00:00:00.000000131,1911-12-01,87.6,
1970-01-01 00:00:00.000000132,1912-01-01,1.9,
1970-01-01 00:00:00.000000133,1912-02-01,15.0,
1970-01-01 00:00:00.000000134,1912-03-01,11.2,
1970-01-01 00:00:00.000000135,1912-04-01,122.7,
1970-01-01 00:00:00.000000136,1912-05-01,217.3,
1970-01-01 00:00:00.000000137,1912-06-01,948.2,
1970-01-01 00:00:00.000000138,1912-07-01,833.6,
1970-01-01 00:00:00.000000139,1912-08-01,534.4,
1970-01-01 00:00:00.000000140,1912-09-01,136.8,
1970-01-01 00:00:00.000000141,1912-10-01,469.5,
1970-01-01 00:00:00.000000142,1912-11-01,138.7,
1970-01-01 00:00:00.000000143,1912-12-01,22.0,
1970-01-01 00:00:00.000000144,1913-01-01,3.1,
1970-01-01 00:00:00.000000145,1913-02-01,5.2,
1970-01-01 00:00:00.000000146,1913-03-01,20.7,
1970-01-01 00:00:00.000000147,1913-04-01,75.7,
1970-01-01 00:00:00.000000148,1913-05-01,198.8,
1970-01-01 00:00:00.000000149,1913-06-01,541.7,
1970-01-01 00:00:00.000000150,1913-07-01,763.2,
1970-01-01 00:00:00.000000151,1913-08-01,247.2,
1970-01-01 00:00:00.000000152,1913-09-01,176.9,
1970-01-01 00:00:00.000000153,1913-10-01,422.5,
1970-01-01 00:00:00.000000154,1913-11-01,109.9,
1970-01-01 00:00:00.000000155,1913-12-01,45.8,
1970-01-01 00:00:00.000000156,1914-01-01,0.7,
1970-01-01 00:00:00.000000157,1914-02-01,6.8,
1970-01-01 00:00:00.000000158,1914-03-01,18.1,
1970-01-01 00:00:00.000000159,1914-04-01,32.7,
1970-01-01 00:00:00.000000160,1914-05-01,164.2,
1970-01-01 00:00:00.000000161,1914-06-01,565.3,
1970-01-01 00:00:00.000000162,1914-07-01,857.7,
1970-01-01 00:00:00.000000163,1914-08-01,402.2,
1970-01-01 00:00:00.000000164,1914-09-01,241.0,
1970-01-01 00:00:00.000000165,1914-10-01,374.4,
1970-01-01 00:00:00.000000166,1914-11-01,100.9,
1970-01-01 00:00:00.000000167,1914-12-01,135.2,
1970-01-01 00:00:00.000000168,1915-01-01,16.9,
1970-01-01 00:00:00.000000169,1915-02-01,23.5,
1970-01-01 00:00:00.000000170,1915-03-01,42.7,
1970-01-01 00:00:00.000000171,1915-04-01,106.0,
1970-01-01 00:00:00.000000172,1915-05-01,154.5,
1970-01-01 00:00:00.000000173,1915-06-01,696.1,
1970-01-01 00:00:00.000000174,1915-07-01,775.6,
1970-01-01 00:00:00.000000175,1915-08-01,298.8,
1970-01-01 00:00:00.000000176,1915-09-01,396.6,
1970-01-01 00:00:00.000000177,1915-10-01,196.6,
1970-01-01 00:00:00.000000178,1915-11-01,302.5,
1970-01-01 00:00:00.000000179,1915-12-01,14.9,
1970-01-01 00:00:00.000000180,1916-01-01,0.0,
1970-01-01 00:00:00.000000181,1916-02-01,7.8,
1970-01-01 00:00:00.000000182,1916-03-01,22.0,
1970-01-01 00:00:00.000000183,1916-04-01,82.4,
1970-01-01 00:00:00.000000184,1916-05-01,199.0,
1970-01-01 00:00:00.000000185,1916-06-01,920.2,
1970-01-01 00:00:00.000000186,1916-07-01,513.9,
1970-01-01 00:00:00.000000187,1916-08-01,396.9,
1970-01-01 00:00:00.000000188,1916-09-01,339.3,
1970-01-01 00:00:00.000000189,1916-10-01,320.7,
1970-01-01 00:00:00.000000190,1916-11-01,134.3,
1970-01-01 00:00:00.000000191,1916-12-01,8.9,
1970-01-01 00:00:00.000000192,1917-01-01,2.9,
1970-01-01 00:00:00.000000193,1917-02-01,47.6,
1970-01-01 00:00:00.000000194,1917-03-01,79.4,
1970-01-01 00:00:00.000000195,1917-04-01,38.1,
1970-01-01 00:00:00.000000196,1917-05-01,122.9,
1970-01-01 00:00:00.000000197,1917-06-01,703.7,
1970-01-01 00:00:00.000000198,1917-07-01,342.7,
1970-01-01 00:00:00.000000199,1917-08-01,335.1,
1970-01-01 00:00:00.000000200,1917-09-01,470.3,
1970-01-01 00:00:00.000000201,1917-10-01,264.1,
1970-01-01 00:00:00.000000202,1917-11-01,256.4,
1970-01-01 00:00:00.000000203,1917-12-01,41.6,
1970-01-01 00:00:00.000000204,1918-01-01,42.9,
1970-01-01 00:00:00.000000205,1918-02-01,5.0,
1970-01-01 00:00:00.000000206,1918-03-01,32.8,
1970-01-01 00:00:00.000000207,1918-04-01,51.3,
1970-01-01 00:00:00.000000208,1918-05-01,683.0,
1970-01-01 00:00:00.000000209,1918-06-01,464.3,
1970-01-01 00:00:00.000000210,1918-07-01,167.5,
1970-01-01 00:00:00.000000211,1918-08-01,376.0,
1970-01-01 00:00:00.000000212,1918-09-01,96.4,
1970-01-01 00:00:00.000000213,1918-10-01,233.2,
1970-01-01 00:00:00.000000214,1918-11-01,295.4,
1970-01-01 00:00:00.000000215,1918-12-01,54.1,
1970-01-01 00:00:00.000000216,1919-01-01,43.0,
1970-01-01 00:00:00.000000217,1919-02-01,6.1,
1970-01-01 00:00:00.000000218,1919-03-01,33.9,
1970-01-01 00:00:00.000000219,1919-04-01,65.9,
1970-01-01 00:00:00.000000220,1919-05-01,247.0,
1970-01-01 00:00:00.000000221,1919-06-01,636.8,
1970-01-01 00:00:00.000000222,1919-07-01,648.0,
1970-01-01 00:00:00.000000223,1919-08-01,484.2,
1970-01-01 00:00:00.000000224,1919-09-01,255.9,
1970-01-01 00:00:00.000000225,1919-10-01,249.2,
